circuit_name,circuit_url,locality,country,latitude,longitude,scraped_at_utc
Baku City Circuit,https://en.wikipedia.org/wiki/Baku_City_Circuit,Baku,Azerbaijan,40.3725,49.85333,2026-01-14T09:26:39.870876+00:00
Brands Hatch Circuit,https://en.wikipedia.org/wiki/Brands_Hatch,West Kingsdown,United Kingdom,51.35667,0.2625,2026-01-14T09:26:39.870876+00:00
Buddh International Circuit,https://en.wikipedia.org/wiki/Buddh_International_Circuit,Greater Noida,India,28.35056,77.535,2026-01-14T09:26:39.870876+00:00
Bugatti Au Mans,https://en.wikipedia.org/wiki/Circuit_de_la_Sarthe#Bugatti_Circuit,Le Mans,France,47.933,0.233,2026-01-14T09:26:39.870876+00:00
Caesars Palace Grand Prix Circuit,https://en.wikipedia.org/wiki/Caesars_Palace_Grand_Prix,Paradise,United States,,,2026-01-14T09:26:39.870876+00:00
Charade Circuit,https://en.wikipedia.org/wiki/Circuit_de_Charade,Saint-Genès-Champanelle,France,45.74722,3.03889,2026-01-14T09:26:39.870876+00:00
Circuit Bremgarten,https://en.wikipedia.org/wiki/Circuit_Bremgarten,Bern,Switzerland,46.95,7.41083,2026-01-14T09:26:39.870876+00:00
Circuit de Barcelona-Catalunya,https://en.wikipedia.org/wiki/Circuit_de_Barcelona-Catalunya,Montmeló,Spain,41.57,2.26111,2026-01-14T09:26:39.870876+00:00
Circuit de Monaco,https://en.wikipedia.org/wiki/Circuit_de_Monaco,Monte Carlo,Monaco,43.73472,7.42056,2026-01-14T09:26:39.870876+00:00
Circuit de Nevers Magny-Cours,https://en.wikipedia.org/wiki/Circuit_de_Nevers_Magny-Cours,Magny-Cours,France,46.86333,3.16333,2026-01-14T09:26:39.870876+00:00
Circuit de Pedralbes,https://en.wikipedia.org/wiki/Pedralbes_Circuit,Barcelona,Spain,41.39028,2.11667,2026-01-14T09:26:39.870876+00:00
Circuit de Reims-Gueux,https://en.wikipedia.org/wiki/Reims-Gueux,Gueux,France,49.254075,3.9305611,2026-01-14T09:26:39.870876+00:00
Circuit de Spa-Francorchamps,https://en.wikipedia.org/wiki/Circuit_de_Spa-Francorchamps,Stavelot,Belgium,50.43722,5.97139,2026-01-14T09:26:39.870876+00:00
Circuit Dijon-Prenois,https://en.wikipedia.org/wiki/Dijon-Prenois,Prenois,France,47.3625,4.89917,2026-01-14T09:26:39.870876+00:00
Circuit Gilles-Villeneuve,https://en.wikipedia.org/wiki/Circuit_Gilles_Villeneuve,Montreal,Canada,45.50056,-73.5225,2026-01-14T09:26:39.870876+00:00
Circuit Mont-Tremblant,https://en.wikipedia.org/wiki/Circuit_Mont-Tremblant,Mont-Tremblant,Canada,46.1877056,-74.6099361,2026-01-14T09:26:39.870876+00:00
Circuit of the Americas,https://en.wikipedia.org/wiki/Circuit_of_the_Americas,Austin,United States,30.13278,-97.64111,2026-01-14T09:26:39.870876+00:00
Circuit Paul Ricard,https://en.wikipedia.org/wiki/Circuit_Paul_Ricard,Le Castellet,France,43.25056,5.79167,2026-01-14T09:26:39.870876+00:00
Circuit Zandvoort,https://en.wikipedia.org/wiki/Circuit_Zandvoort,Zandvoort,Netherlands,52.38889,4.54083,2026-01-14T09:26:39.870876+00:00
Circuit Zolder,https://en.wikipedia.org/wiki/Circuit_Zolder,Heusden-Zolder,Belgium,50.98889,5.25556,2026-01-14T09:26:39.870876+00:00
Circuito da Boavista,https://en.wikipedia.org/wiki/Circuito_da_Boavista,Porto,Portugal,41.170472,-8.67325,2026-01-14T09:26:39.870876+00:00
Circuito de Monsanto,https://en.wikipedia.org/wiki/Circuito_de_Monsanto,Lisbon,Portugal,38.71972,-9.20306,2026-01-14T09:26:39.870876+00:00
Circuito Permanente de Jerez,https://en.wikipedia.org/wiki/Circuito_de_Jerez,Jerez de la Frontera,Spain,36.70833,-6.03417,2026-01-14T09:26:39.870876+00:00
Circuito Permanente del Jarama,https://en.wikipedia.org/wiki/Circuito_del_Jarama,San Sebastián de los Reyes,Spain,40.61722,-3.58556,2026-01-14T09:26:39.870876+00:00
Dallas Fair Park,https://en.wikipedia.org/wiki/Fair_Park#Other_notable_events,Dallas,United States,32.78194,-96.76556,2026-01-14T09:26:39.870876+00:00
Detroit Street Circuit,https://en.wikipedia.org/wiki/Detroit_Street_Circuit,Detroit,United States,42.32975,-83.040111,2026-01-14T09:26:39.870876+00:00
Donington Park,https://en.wikipedia.org/wiki/Donington_Park,Castle Donington,United Kingdom,52.82917,-1.375,2026-01-14T09:26:39.870876+00:00
Fuji Speedway,https://en.wikipedia.org/wiki/Fuji_Speedway,Oyama,Japan,35.37167,138.92667,2026-01-14T09:26:39.870876+00:00
Hockenheimring,https://en.wikipedia.org/wiki/Hockenheimring,Hockenheim,Germany,49.32778,8.56583,2026-01-14T09:26:39.870876+00:00
Hungaroring,https://en.wikipedia.org/wiki/Hungaroring,Mogyoród,Hungary,47.58222,19.25111,2026-01-14T09:26:39.870876+00:00
