circuit_id,circuit_name,circuit_url,locality,country,circuit_lat,circuit_lon,scraped_at_utc,station_id,station_name,station_country,station_lat,station_lon,station_elevation,distance_km,selection_rule,coverage_notes
avus,AVUS,https://en.wikipedia.org/wiki/AVUS,Berlin,Germany,52.48056,13.25139,2026-01-14T09:26:39.870876+00:00,10381,Berlin / Dahlem,DE,52.4667,13.3,51,3.635,nearest,
hockenheimring,Hockenheimring,https://en.wikipedia.org/wiki/Hockenheimring,Hockenheim,Germany,49.32778,8.56583,2026-01-14T09:26:39.870876+00:00,D5275,Waghäusel-Kirrlach,DE,49.2445,8.5374,105,9.487,nearest,
n-rburgring,Nürburgring,https://en.wikipedia.org/wiki/N%C3%BCrburgring,Nürburg,Germany,50.33556,6.9475,2026-01-14T09:26:39.870876+00:00,10510,Nürburg,DE,50.3333,6.95,629,0.308,nearest,
hungaroring,Hungaroring,https://en.wikipedia.org/wiki/Hungaroring,Mogyoród,Hungary,47.58222,19.25111,2026-01-14T09:26:39.870876+00:00,12839,Budapest / Ferihegy,HU,47.4333,19.2667,151,16.6,nearest,
buddh-international-circuit,Buddh International Circuit,https://en.wikipedia.org/wiki/Buddh_International_Circuit,Greater Noida,India,28.35056,77.535,2026-01-14T09:26:39.870876+00:00,42182,New Delhi / Safdarjung,IN,28.5833,77.2,211,41.738,nearest,
autodromo-internazionale-enzo-e-dino-ferrari,Autodromo Internazionale Enzo e Dino Ferrari,https://en.wikipedia.org/wiki/Imola_Circuit,Imola,Italy,44.34111,11.71333,2026-01-14T09:26:39.870876+00:00,16147,Forli,IT,44.2,12.0667,27,32.215,nearest,
autodromo-internazionale-del-mugello,Autodromo Internazionale del Mugello,https://en.wikipedia.org/wiki/Autodromo_Internazionale_del_Mugello,Scarperia e San Piero,Italy,43.9975,11.37194,2026-01-14T09:26:39.870876+00:00,16170,Firenze / Peretola,IT,43.8,11.2,40,25.924,nearest,
autodromo-nazionale-di-monza,Autodromo Nazionale di Monza,https://en.wikipedia.org/wiki/Autodromo_Nazionale_di_Monza,Monza,Italy,45.62056,9.28944,2026-01-14T09:26:39.870876+00:00,16081,Milano Linate,IT,45.46,9.2583,107,18.017,nearest,
pescara-circuit,Pescara Circuit,https://en.wikipedia.org/wiki/Pescara_Circuit,Pescara,Italy,42.475,14.15083,2026-01-14T09:26:39.870876+00:00,16230,Pescara,IT,42.4333,14.2,10,6.146,nearest,
fuji-speedway,Fuji Speedway,https://en.wikipedia.org/wiki/Fuji_Speedway,Oyama,Japan,35.37167,138.92667,2026-01-14T09:26:39.870876+00:00,47721,Fuji Ab,JP,35.3167,138.8667,680,8.182,nearest,
suzuka-international-racing-course,Suzuka International Racing Course,https://en.wikipedia.org/wiki/Suzuka_International_Racing_Course,Suzuka,Japan,34.8417,136.5389,2026-01-14T09:26:39.870876+00:00,47684,Yokkaichi,JP,34.9333,136.5833,47,10.961,nearest,
ti-circuit-aida,TI Circuit Aida,https://en.wikipedia.org/wiki/Okayama_International_Circuit,Mimasaka,Japan,34.915,134.22111,2026-01-14T09:26:39.870876+00:00,47756,Tsuyama,JP,35.0667,134.0167,146,25.125,nearest,
sepang-international-circuit,Sepang International Circuit,https://en.wikipedia.org/wiki/Sepang_International_Circuit,Sepang,Malaysia,2.76056,101.7375,2026-01-14T09:26:39.870876+00:00,48647,Sepang/KL International Airport,MY,2.7333,101.7,21,5.151,nearest,
aut-dromo-hermanos-rodr-guez,Autódromo Hermanos Rodríguez,https://en.wikipedia.org/wiki/Aut%C3%B3dromo_Hermanos_Rodr%C3%ADguez,Mexico City,Mexico,19.40611,-99.0925,2026-01-14T09:26:39.870876+00:00,76679,Mexico City Airport,MX,19.4333,-99.0833,2234,3.174,nearest,
circuit-de-monaco,Circuit de Monaco,https://en.wikipedia.org/wiki/Circuit_de_Monaco,Monte Carlo,Monaco,43.73472,7.42056,2026-01-14T09:26:39.870876+00:00,07695,Cap Ferrat,FR,43.6833,7.3333,138,9.049,nearest,
ain-diab-circuit,Ain-Diab Circuit,https://en.wikipedia.org/wiki/Ain-Diab_Circuit,Casablanca,Morocco,33.57861,-7.6875,2026-01-14T09:26:39.870876+00:00,60155,Casablanca,MA,33.5667,-7.6667,62,2.338,nearest,
circuit-zandvoort,Circuit Zandvoort,https://en.wikipedia.org/wiki/Circuit_Zandvoort,Zandvoort,Netherlands,52.38889,4.54083,2026-01-14T09:26:39.870876+00:00,06209,Ijmond / Wijk aan Zee,NL,52.4636,4.5175,0,8.457,nearest,
algarve-international-circuit,Algarve International Circuit,https://en.wikipedia.org/wiki/Algarve_International_Circuit,Portimão,Portugal,37.23194,-8.63194,2026-01-14T09:26:39.870876+00:00,08538,Sagres,PT,37.0,-8.95,25,38.216,nearest,
aut-dromo-do-estoril,Autódromo do Estoril,https://en.wikipedia.org/wiki/Aut%C3%B3dromo_do_Estoril,Estoril,Portugal,38.75083,-9.39417,2026-01-14T09:26:39.870876+00:00,LPCS0,Cascais / Tires,PT,38.725,-9.3552,99,4.436,nearest,
